cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,1,blanco,B,0
superior,1,2,2,verde,V,0
superior,1,3,3,amarillo,A,0
superior,2,1,4,amarillo,A,0
superior,2,2,5,naranja,N,0
superior,2,3,6,amarillo,A,0
superior,3,1,7,rojo,R,0
superior,3,2,8,azul,Az,0
superior,3,3,9,rojo,R,0
izquierda,1,1,10,azul,Az,0
izquierda,1,2,11,rojo,R,0
izquierda,1,3,12,blanco,B,0
izquierda,2,1,13,blanco,B,0
izquierda,2,2,14,verde,V,0
izquierda,2,3,15,amarillo,A,0
izquierda,3,1,16,blanco,B,0
izquierda,3,2,17,blanco,B,0
izquierda,3,3,18,naranja,N,0
derecha,1,1,19,verde,V,0
derecha,1,2,20,naranja,N,0
derecha,1,3,21,amarillo,A,0
derecha,2,1,22,naranja,N,0
derecha,2,2,23,blanco,B,0
derecha,2,3,24,verde,V,0
derecha,3,1,25,verde,V,0
derecha,3,2,26,verde,V,0
derecha,3,3,27,azul,Az,0
