cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,1,amarillo,A,0
superior,1,2,2,azul,Az,0
superior,1,3,3,verde,V,0
superior,2,1,4,amarillo,A,0
superior,2,2,5,verde,V,0
superior,2,3,6,naranja,N,0
superior,3,1,7,naranja,N,0
superior,3,2,8,naranja,N,0
superior,3,3,9,azul,Az,0
izquierda,1,1,10,naranja,N,0
izquierda,1,2,11,verde,V,0
izquierda,1,3,12,azul,Az,0
izquierda,2,1,13,blanco,B,0
izquierda,2,2,14,blanco,B,0
izquierda,2,3,15,rojo,R,0
izquierda,3,1,16,verde,V,0
izquierda,3,2,17,amarillo,A,0
izquierda,3,3,18,blanco,B,0
derecha,1,1,19,amarillo,A,0
derecha,1,2,20,blanco,B,0
derecha,1,3,21,rojo,R,0
derecha,2,1,22,verde,V,0
derecha,2,2,23,naranja,N,0
derecha,2,3,24,blanco,B,0
derecha,3,1,25,rojo,R,0
derecha,3,2,26,azul,Az,0
derecha,3,3,27,blanco,B,0
