caso,cara,fila,columna,esperado,detectado,correcto
caso_006,blanco,3,1,B,B,1
caso_006,blanco,3,2,A,A,1
caso_006,blanco,3,3,Az,Az,1
caso_006,amarillo,1,1,N,N,1
caso_006,amarillo,1,2,R,R,1
caso_006,amarillo,1,3,N,N,1
caso_006,amarillo,2,1,N,N,1
caso_006,amarillo,2,2,A,A,1
caso_006,amarillo,2,3,B,B,1
caso_006,amarillo,3,1,V,V,1
caso_006,amarillo,3,2,B,B,1
caso_006,amarillo,3,3,Az,Az,1
caso_006,rojo,1,1,A,A,1
caso_006,rojo,1,2,B,B,1
caso_006,rojo,1,3,B,B,1
caso_006,rojo,2,1,A,A,1
caso_006,rojo,2,2,R,R,1
caso_006,rojo,2,3,Az,Az,1
caso_006,rojo,3,1,V,V,1
caso_006,rojo,3,2,R,R,1
caso_006,rojo,3,3,B,B,1
caso_006,naranja,1,1,N,N,1
caso_006,naranja,1,2,Az,Az,1
caso_006,naranja,1,3,R,R,1
caso_006,naranja,2,1,V,V,1
caso_006,naranja,2,2,N,N,1
caso_006,naranja,2,3,N,N,1
caso_006,naranja,3,1,V,V,1
caso_006,naranja,3,2,V,V,1
caso_006,naranja,3,3,V,V,1
caso_006,verde,1,1,R,R,1
caso_006,verde,1,2,A,A,1
caso_006,verde,1,3,R,R,1
caso_006,verde,2,1,N,N,1
caso_006,verde,2,2,V,V,1
caso_006,verde,2,3,R,R,1
caso_006,verde,3,1,A,A,1
caso_006,verde,3,2,Az,Az,1
caso_006,verde,3,3,A,A,1
caso_006,azul,1,1,Az,Az,1
caso_006,azul,1,2,N,N,1
caso_006,azul,1,3,B,B,1
caso_006,azul,2,1,Az,Az,1
caso_006,azul,2,2,Az,Az,1
caso_006,azul,2,3,A,A,1
caso_006,azul,3,1,N,N,1
caso_006,azul,3,2,V,V,1
caso_006,azul,3,3,R,R,1
caso_007,blanco,1,1,A,A,1
caso_007,blanco,1,2,A,A,1
caso_007,blanco,1,3,B,B,1
caso_007,blanco,2,1,B,B,1
caso_007,blanco,2,2,B,B,1
caso_007,blanco,2,3,B,B,1
caso_007,blanco,3,1,A,A,1
caso_007,blanco,3,2,V,V,1
caso_007,blanco,3,3,N,N,1
